text,sentiment,department,satisfaction_rating,resolution_time_minutes,call_transfers,issue_type
"Wonderful customer support! Professional, courteous, and very efficient.",Positive,Billing,4,50,1,Billing
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Technical Support,4,27,4,Product
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,General Inquiry,5,85,2,Product
Outstanding help from the support team! They exceeded all my expectations.,Positive,General Inquiry,4,57,5,Product
"Perfect customer service experience! Quick, professional, and very effective.",Positive,Returns,4,150,2,Product
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Technical Support,4,107,1,Product
Best support experience I've ever had! The team was incredibly helpful and friendly.,Positive,Technical Support,4,91,3,Billing
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Sales,5,176,5,Billing
Excellent support team! They went above and beyond to help me with my problem.,Positive,General Inquiry,4,179,2,Product
Quick response and professional service. Couldn't be happier with the experience!,Positive,General Inquiry,4,176,1,Billing
Outstanding help from the support team! They exceeded all my expectations.,Positive,General Inquiry,5,119,4,Account
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,General Inquiry,4,85,3,Other
Exceptional service quality! The representative was expert and very patient.,Positive,Technical Support,5,168,5,Other
"Wonderful customer support! Professional, courteous, and very efficient.",Positive,Returns,5,88,0,Billing
"Amazing customer service! Patient, helpful, and resolved everything perfectly.",Positive,Technical Support,5,47,3,Product
Excellent support team! They went above and beyond to help me with my problem.,Positive,Sales,5,35,2,Billing
Outstanding help from the support team! They exceeded all my expectations.,Positive,Returns,4,104,5,Other
Best support experience I've ever had! The team was incredibly helpful and friendly.,Positive,Sales,4,45,5,Product
Outstanding help from the support team! They exceeded all my expectations.,Positive,General Inquiry,5,62,4,Other
Best support experience I've ever had! The team was incredibly helpful and friendly.,Positive,Returns,4,178,3,Product
"Perfect customer service experience! Quick, professional, and very effective.",Positive,General Inquiry,4,79,5,Product
"Amazing customer service! Patient, helpful, and resolved everything perfectly.",Positive,General Inquiry,4,103,5,Technical
"Wonderful customer support! Professional, courteous, and very efficient.",Positive,Returns,5,159,4,Product
Outstanding help from the support team! They exceeded all my expectations.,Positive,Sales,4,134,4,Product
Outstanding help from the support team! They exceeded all my expectations.,Positive,Sales,4,10,5,Product
Quick response and professional service. Couldn't be happier with the experience!,Positive,General Inquiry,5,144,5,Technical
Exceptional service quality! The representative was expert and very patient.,Positive,Billing,4,35,0,Product
"Amazing customer service! Patient, helpful, and resolved everything perfectly.",Positive,Technical Support,5,62,0,Billing
Excellent support team! They went above and beyond to help me with my problem.,Positive,Technical Support,5,24,0,Account
Exceptional service quality! The representative was expert and very patient.,Positive,Billing,4,160,0,Billing
"Amazing customer service! Patient, helpful, and resolved everything perfectly.",Positive,Returns,5,33,0,Other
Quick response and professional service. Couldn't be happier with the experience!,Positive,Returns,4,126,1,Account
Exceptional service quality! The representative was expert and very patient.,Positive,Billing,4,143,3,Other
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Sales,4,105,4,Other
Outstanding customer service! The representative was knowledgeable and solved my issue in minutes.,Positive,Technical Support,5,179,5,Other
"Amazing customer service! Patient, helpful, and resolved everything perfectly.",Positive,Technical Support,4,14,3,Billing
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Technical Support,4,103,3,Product
"Perfect customer service experience! Quick, professional, and very effective.",Positive,Returns,4,64,1,Billing
Best support experience I've ever had! The team was incredibly helpful and friendly.,Positive,General Inquiry,5,81,4,Billing
"Wonderful customer support! Professional, courteous, and very efficient.",Positive,Returns,4,74,2,Product
Best support experience I've ever had! The team was incredibly helpful and friendly.,Positive,Sales,5,77,1,Technical
Quick response and professional service. Couldn't be happier with the experience!,Positive,Sales,5,173,2,Account
Outstanding customer service! The representative was knowledgeable and solved my issue in minutes.,Positive,Billing,4,110,0,Product
"Wonderful customer support! Professional, courteous, and very efficient.",Positive,Technical Support,4,155,1,Product
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,General Inquiry,4,147,3,Billing
Outstanding help from the support team! They exceeded all my expectations.,Positive,Sales,5,36,4,Other
"Amazing customer service! Patient, helpful, and resolved everything perfectly.",Positive,Returns,5,115,0,Other
Quick response and professional service. Couldn't be happier with the experience!,Positive,Technical Support,4,22,4,Billing
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,General Inquiry,5,156,4,Account
"Wonderful customer support! Professional, courteous, and very efficient.",Positive,General Inquiry,5,31,5,Account
Outstanding customer service! The representative was knowledgeable and solved my issue in minutes.,Positive,Sales,4,169,1,Technical
Outstanding help from the support team! They exceeded all my expectations.,Positive,Sales,4,60,5,Billing
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Technical Support,5,135,5,Technical
Outstanding help from the support team! They exceeded all my expectations.,Positive,Technical Support,4,7,1,Other
Exceptional service quality! The representative was expert and very patient.,Positive,Returns,4,130,5,Technical
Quick response and professional service. Couldn't be happier with the experience!,Positive,Billing,4,176,4,Technical
Outstanding customer service! The representative was knowledgeable and solved my issue in minutes.,Positive,Technical Support,5,10,1,Account
Outstanding customer service! The representative was knowledgeable and solved my issue in minutes.,Positive,Technical Support,4,147,2,Billing
"Amazing customer service! Patient, helpful, and resolved everything perfectly.",Positive,Technical Support,4,62,0,Billing
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Returns,5,134,2,Billing
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Returns,5,43,5,Account
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Sales,5,42,5,Other
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Billing,4,46,0,Account
"Wonderful customer support! Professional, courteous, and very efficient.",Positive,Returns,5,128,2,Other
"Perfect customer service experience! Quick, professional, and very effective.",Positive,Sales,5,91,4,Other
Excellent support team! They went above and beyond to help me with my problem.,Positive,Returns,5,82,2,Billing
"Wonderful customer support! Professional, courteous, and very efficient.",Positive,Returns,5,136,4,Technical
Exceptional service quality! The representative was expert and very patient.,Positive,Sales,4,5,4,Technical
Best support experience I've ever had! The team was incredibly helpful and friendly.,Positive,General Inquiry,5,40,5,Other
Excellent support team! They went above and beyond to help me with my problem.,Positive,General Inquiry,5,175,2,Other
Exceptional service quality! The representative was expert and very patient.,Positive,Technical Support,4,117,5,Product
"Perfect customer service experience! Quick, professional, and very effective.",Positive,Technical Support,4,10,2,Other
Quick response and professional service. Couldn't be happier with the experience!,Positive,Sales,5,22,5,Product
Fantastic service! They made a complicated issue seem simple to resolve.,Positive,Billing,5,111,3,Billing
Excellent support team! They went above and beyond to help me with my problem.,Positive,Sales,5,69,4,Technical
"Amazing customer service! Patient, helpful, and resolved everything perfectly.",Positive,Sales,4,10,0,Billing
Excellent support team! They went above and beyond to help me with my problem.,Positive,Sales,4,59,3,Account
"Perfect customer service experience! Quick, professional, and very effective.",Positive,Sales,4,8,1,Technical
Quick response and professional service. Couldn't be happier with the experience!,Positive,General Inquiry,4,175,2,Billing
Best support experience I've ever had! The team was incredibly helpful and friendly.,Positive,Billing,5,173,3,Billing
Excellent support team! They went above and beyond to help me with my problem.,Positive,Technical Support,5,16,0,Other
Outstanding help from the support team! They exceeded all my expectations.,Positive,Sales,4,151,2,Product
Best support experience I've ever had! The team was incredibly helpful and friendly.,Positive,General Inquiry,4,142,3,Account
