review_id,text,sentiment,genre,rating,reviewer_age,review_date,helpful_votes
MOVIE_0001,Absolutely loved every minute of this incredible movie experience.,Positive,Horror,4.3,54,2025-08-08,9
MOVIE_0002,Fantastic acting and direction make this a must-see film.,Positive,Sci-Fi,3.5,31,2025-09-23,36
MOVIE_0003,Absolutely brilliant film with outstanding performances and stunning visuals!,Positive,Sci-Fi,3.6,40,2025-11-25,98
MOVIE_0004,A cinematic triumph that exceeds all expectations.,Positive,Drama,3.7,50,2025-08-21,0
MOVIE_0005,Fantastic acting and direction make this a must-see film.,Positive,Comedy,4.4,29,2025-07-21,2
MOVIE_0006,One of the best movies I've seen this year. Highly recommended!,Positive,Thriller,4.9,18,2025-10-27,79
MOVIE_0007,Outstanding film with incredible attention to detail and superb acting.,Positive,Horror,3.6,36,2025-08-27,3
MOVIE_0008,Fantastic acting and direction make this a must-see film.,Positive,Comedy,4.7,46,2025-12-11,92
MOVIE_0009,Fantastic acting and direction make this a must-see film.,Positive,Horror,4.6,56,2025-09-30,84
MOVIE_0010,Incredible storytelling and amazing character development throughout.,Positive,Horror,4.8,22,2025-08-04,29
MOVIE_0011,A cinematic triumph that exceeds all expectations.,Positive,Drama,4.5,23,2025-11-24,24
MOVIE_0012,Brilliant screenplay with perfect casting and excellent cinematography.,Positive,Romance,4.4,48,2025-07-26,78
MOVIE_0013,One of the best movies I've seen this year. Highly recommended!,Positive,Drama,4.2,48,2025-11-16,0
MOVIE_0014,A cinematic triumph that exceeds all expectations.,Positive,Romance,3.7,48,2025-11-16,49
MOVIE_0015,Incredible storytelling and amazing character development throughout.,Positive,Romance,4.1,61,2025-12-11,19
MOVIE_0016,Visually stunning with a compelling plot that keeps you engaged.,Positive,Documentary,4.0,52,2025-10-09,59
MOVIE_0017,Fantastic acting and direction make this a must-see film.,Positive,Documentary,3.5,24,2025-07-05,5
MOVIE_0018,A cinematic triumph that exceeds all expectations.,Positive,Comedy,4.3,38,2025-08-12,25
MOVIE_0019,Incredible storytelling and amazing character development throughout.,Positive,Horror,4.7,62,2025-12-09,15
MOVIE_0020,A masterpiece of cinema that will be remembered for years to come.,Positive,Horror,3.7,65,2025-09-26,55
MOVIE_0021,Outstanding film with incredible attention to detail and superb acting.,Positive,Romance,4.2,34,2025-09-05,65
MOVIE_0022,Brilliant screenplay with perfect casting and excellent cinematography.,Positive,Drama,4.2,37,2025-10-27,88
MOVIE_0023,Absolutely loved every minute of this incredible movie experience.,Positive,Action,4.5,21,2025-11-05,75
MOVIE_0024,One of the best movies I've seen this year. Highly recommended!,Positive,Sci-Fi,4.2,53,2025-10-24,76
MOVIE_0025,Incredible storytelling and amazing character development throughout.,Positive,Sci-Fi,4.9,45,2025-12-09,23
MOVIE_0026,Incredible storytelling and amazing character development throughout.,Positive,Sci-Fi,3.9,49,2025-07-25,0
MOVIE_0027,Absolutely brilliant film with outstanding performances and stunning visuals!,Positive,Action,4.1,41,2025-10-20,81
MOVIE_0028,Absolutely loved every minute of this incredible movie experience.,Positive,Romance,4.2,29,2025-12-05,30
MOVIE_0029,Incredible storytelling and amazing character development throughout.,Positive,Romance,4.7,62,2025-09-19,6
MOVIE_0030,A masterpiece of cinema that will be remembered for years to come.,Positive,Horror,3.7,48,2025-11-09,8
MOVIE_0031,Incredible storytelling and amazing character development throughout.,Positive,Thriller,3.6,47,2025-12-02,98
MOVIE_0032,One of the best movies I've seen this year. Highly recommended!,Positive,Drama,4.7,32,2025-08-18,72
MOVIE_0033,Absolutely brilliant film with outstanding performances and stunning visuals!,Positive,Documentary,5.0,21,2025-07-23,10
MOVIE_0034,One of the best movies I've seen this year. Highly recommended!,Positive,Sci-Fi,4.1,59,2025-07-04,10
MOVIE_0035,A cinematic triumph that exceeds all expectations.,Positive,Sci-Fi,3.5,46,2025-08-06,80
MOVIE_0036,Absolutely loved every minute of this incredible movie experience.,Positive,Thriller,4.8,52,2025-08-01,30
MOVIE_0037,Visually stunning with a compelling plot that keeps you engaged.,Positive,Horror,4.7,24,2025-08-30,3
MOVIE_0038,Absolutely loved every minute of this incredible movie experience.,Positive,Romance,3.7,28,2025-09-27,65
MOVIE_0039,Absolutely brilliant film with outstanding performances and stunning visuals!,Positive,Sci-Fi,4.6,62,2025-07-30,3
MOVIE_0040,A cinematic triumph that exceeds all expectations.,Positive,Sci-Fi,4.2,34,2025-10-19,44
MOVIE_0041,One of the best movies I've seen this year. Highly recommended!,Positive,Thriller,4.6,54,2025-10-28,43
MOVIE_0042,Absolutely brilliant film with outstanding performances and stunning visuals!,Positive,Comedy,3.6,33,2025-09-21,48
MOVIE_0043,Outstanding film with incredible attention to detail and superb acting.,Positive,Sci-Fi,4.1,44,2025-10-09,38
MOVIE_0044,Fantastic acting and direction make this a must-see film.,Positive,Comedy,4.5,49,2025-07-16,25
MOVIE_0045,Absolutely brilliant film with outstanding performances and stunning visuals!,Positive,Action,4.7,37,2025-11-08,30
MOVIE_0046,Brilliant screenplay with perfect casting and excellent cinematography.,Positive,Romance,4.7,18,2025-08-23,87
MOVIE_0047,Outstanding film with incredible attention to detail and superb acting.,Positive,Action,4.2,53,2025-10-31,87
MOVIE_0048,Incredible storytelling and amazing character development throughout.,Positive,Thriller,4.9,19,2025-12-12,53
MOVIE_0049,Incredible storytelling and amazing character development throughout.,Positive,Thriller,4.7,28,2025-09-02,50
MOVIE_0050,Incredible storytelling and amazing character development throughout.,Positive,Comedy,4.3,45,2025-10-31,30
MOVIE_0051,Outstanding film with incredible attention to detail and superb acting.,Positive,Horror,3.8,45,2025-12-01,67
MOVIE_0052,Incredible storytelling and amazing character development throughout.,Positive,Horror,4.2,37,2025-08-14,45
MOVIE_0053,Absolutely loved every minute of this incredible movie experience.,Positive,Action,4.8,54,2025-07-12,23
MOVIE_0054,Visually stunning with a compelling plot that keeps you engaged.,Positive,Horror,4.0,50,2025-08-03,58
MOVIE_0055,Outstanding film with incredible attention to detail and superb acting.,Positive,Romance,4.1,37,2025-10-07,7
MOVIE_0056,A masterpiece of cinema that will be remembered for years to come.,Positive,Horror,4.1,25,2025-10-13,41
MOVIE_0057,Brilliant screenplay with perfect casting and excellent cinematography.,Positive,Horror,4.4,22,2025-11-07,34
MOVIE_0058,Brilliant screenplay with perfect casting and excellent cinematography.,Positive,Romance,3.8,18,2025-12-22,91
MOVIE_0059,A cinematic triumph that exceeds all expectations.,Positive,Comedy,4.4,56,2025-09-15,18
MOVIE_0060,Absolutely loved every minute of this incredible movie experience.,Positive,Sci-Fi,3.7,29,2025-10-09,87
MOVIE_0061,Visually stunning with a compelling plot that keeps you engaged.,Positive,Sci-Fi,4.9,59,2025-10-22,55
MOVIE_0062,Brilliant screenplay with perfect casting and excellent cinematography.,Positive,Romance,4.7,23,2025-12-09,95
MOVIE_0063,Visually stunning with a compelling plot that keeps you engaged.,Positive,Romance,3.9,63,2025-09-29,11
MOVIE_0064,A masterpiece of cinema that will be remembered for years to come.,Positive,Action,4.7,47,2025-12-03,11
MOVIE_0065,A cinematic triumph that exceeds all expectations.,Positive,Thriller,4.3,27,2025-12-11,90
MOVIE_0066,A masterpiece of cinema that will be remembered for years to come.,Positive,Documentary,4.9,57,2025-07-08,51
MOVIE_0067,A cinematic triumph that exceeds all expectations.,Positive,Comedy,3.6,56,2025-09-16,43
MOVIE_0068,A masterpiece of cinema that will be remembered for years to come.,Positive,Action,3.9,18,2025-08-04,87
MOVIE_0069,A masterpiece of cinema that will be remembered for years to come.,Positive,Drama,3.8,63,2025-07-14,30
MOVIE_0070,Visually stunning with a compelling plot that keeps you engaged.,Positive,Comedy,3.7,41,2025-10-08,96
MOVIE_0071,A cinematic triumph that exceeds all expectations.,Positive,Drama,4.5,48,2025-12-04,87
MOVIE_0072,One of the best movies I've seen this year. Highly recommended!,Positive,Comedy,4.9,47,2025-10-08,37
MOVIE_0073,Incredible storytelling and amazing character development throughout.,Positive,Horror,4.4,29,2025-10-02,14
MOVIE_0074,One of the best movies I've seen this year. Highly recommended!,Positive,Documentary,3.8,58,2025-09-23,29
MOVIE_0075,Brilliant screenplay with perfect casting and excellent cinematography.,Positive,Documentary,4.1,45,2025-12-28,84
MOVIE_0076,Outstanding film with incredible attention to detail and superb acting.,Positive,Horror,3.7,41,2025-12-24,22
MOVIE_0077,Visually stunning with a compelling plot that keeps you engaged.,Positive,Drama,4.7,54,2025-11-11,62
MOVIE_0078,Visually stunning with a compelling plot that keeps you engaged.,Positive,Horror,4.3,31,2025-11-15,96
MOVIE_0079,A masterpiece of cinema that will be remembered for years to come.,Positive,Comedy,4.9,23,2025-12-16,75
MOVIE_0080,A cinematic triumph that exceeds all expectations.,Positive,Thriller,4.3,48,2025-12-02,35
MOVIE_0081,One of the best movies I've seen this year. Highly recommended!,Positive,Drama,4.6,30,2025-10-01,28
MOVIE_0082,Brilliant screenplay with perfect casting and excellent cinematography.,Positive,Drama,3.7,62,2025-12-12,31
MOVIE_0083,Absolutely brilliant film with outstanding performances and stunning visuals!,Positive,Sci-Fi,3.7,37,2025-08-08,40
MOVIE_0084,Absolutely brilliant film with outstanding performances and stunning visuals!,Positive,Documentary,3.8,50,2025-10-17,98
MOVIE_0085,Outstanding film with incredible attention to detail and superb acting.,Positive,Sci-Fi,4.8,29,2025-07-16,33
MOVIE_0086,A cinematic triumph that exceeds all expectations.,Positive,Comedy,3.7,46,2025-10-29,20
MOVIE_0087,Visually stunning with a compelling plot that keeps you engaged.,Positive,Sci-Fi,3.7,36,2025-12-14,87
MOVIE_0088,Visually stunning with a compelling plot that keeps you engaged.,Positive,Comedy,4.2,42,2025-07-05,58
MOVIE_0089,Absolutely loved every minute of this incredible movie experience.,Positive,Sci-Fi,4.0,47,2025-11-28,20
MOVIE_0090,Brilliant screenplay with perfect casting and excellent cinematography.,Positive,Action,4.1,28,2025-07-02,1
MOVIE_0091,Fantastic acting and direction make this a must-see film.,Positive,Comedy,4.6,49,2025-09-14,71
MOVIE_0092,One of the best movies I've seen this year. Highly recommended!,Positive,Action,3.9,39,2025-08-21,58
MOVIE_0093,Incredible storytelling and amazing character development throughout.,Positive,Comedy,4.0,65,2025-11-21,44
MOVIE_0094,Fantastic acting and direction make this a must-see film.,Positive,Action,4.7,52,2025-09-06,11
MOVIE_0095,One of the best movies I've seen this year. Highly recommended!,Positive,Drama,3.8,20,2025-11-01,31
MOVIE_0096,One of the best movies I've seen this year. Highly recommended!,Positive,Romance,4.9,61,2025-09-27,18
MOVIE_0097,Visually stunning with a compelling plot that keeps you engaged.,Positive,Documentary,3.6,45,2025-11-21,28
MOVIE_0098,Absolutely brilliant film with outstanding performances and stunning visuals!,Positive,Sci-Fi,3.9,35,2025-07-06,72
MOVIE_0099,Incredible storytelling and amazing character development throughout.,Positive,Romance,3.9,30,2025-08-24,70
MOVIE_0100,Incredible storytelling and amazing character development throughout.,Positive,Drama,4.6,31,2025-12-16,58
MOVIE_0101,One of the worst movies I've ever seen. Completely disappointing.,Negative,Action,2.3,55,2025-12-05,23
MOVIE_0102,Poor production values and uninspired performances throughout.,Negative,Sci-Fi,2.2,51,2025-08-26,19
MOVIE_0103,Awful film with no redeeming qualities whatsoever.,Negative,Sci-Fi,2.0,59,2025-10-08,44
MOVIE_0104,Disappointing sequel that ruins the legacy of the original.,Negative,Romance,2.0,31,2025-09-25,96
MOVIE_0105,Terrible acting and a plot that makes absolutely no sense.,Negative,Sci-Fi,2.4,58,2025-11-05,69
MOVIE_0106,Complete waste of time and money. Avoid this movie at all costs.,Negative,Horror,2.4,34,2025-12-04,46
MOVIE_0107,Completely overrated film that fails to deliver on its promises.,Negative,Comedy,2.4,23,2025-09-24,47
MOVIE_0108,Poorly written script with terrible direction and editing.,Negative,Documentary,1.1,65,2025-10-08,37
MOVIE_0109,Poorly written script with terrible direction and editing.,Negative,Thriller,1.8,46,2025-07-06,37
MOVIE_0110,Poorly written script with terrible direction and editing.,Negative,Action,1.7,56,2025-11-09,21
MOVIE_0111,Poor production values and uninspired performances throughout.,Negative,Documentary,1.1,58,2025-08-19,61
MOVIE_0112,Boring storyline with unconvincing performances from the entire cast.,Negative,Sci-Fi,1.3,23,2025-08-27,17
MOVIE_0113,Disappointing sequel that ruins the legacy of the original.,Negative,Horror,2.4,35,2025-07-04,56
MOVIE_0114,Terrible plot with poor acting and disappointing special effects.,Negative,Horror,1.4,20,2025-07-12,79
MOVIE_0115,One of the worst movies I've ever seen. Completely disappointing.,Negative,Sci-Fi,1.1,34,2025-09-26,77
MOVIE_0116,Complete waste of time and money. Avoid this movie at all costs.,Negative,Drama,1.8,19,2025-11-12,37
MOVIE_0117,Poorly written script with terrible direction and editing.,Negative,Horror,1.8,26,2025-11-24,50
MOVIE_0118,Awful film with no redeeming qualities whatsoever.,Negative,Romance,1.7,58,2025-10-01,83
MOVIE_0119,Poor production values and uninspired performances throughout.,Negative,Drama,2.1,31,2025-08-19,33
MOVIE_0120,Terrible acting and a plot that makes absolutely no sense.,Negative,Thriller,2.0,64,2025-12-13,19
MOVIE_0121,Awful film with no redeeming qualities whatsoever.,Negative,Comedy,1.2,30,2025-12-01,58
MOVIE_0122,Poorly written script with terrible direction and editing.,Negative,Horror,2.5,25,2025-11-07,35
MOVIE_0123,Boring storyline with unconvincing performances from the entire cast.,Negative,Drama,1.9,18,2025-12-25,79
MOVIE_0124,Boring storyline with unconvincing performances from the entire cast.,Negative,Romance,1.4,51,2025-07-25,52
MOVIE_0125,Terrible plot with poor acting and disappointing special effects.,Negative,Thriller,1.3,24,2025-07-18,30
MOVIE_0126,One of the worst movies I've ever seen. Completely disappointing.,Negative,Sci-Fi,1.3,63,2025-11-17,84
MOVIE_0127,Disappointing sequel that ruins the legacy of the original.,Negative,Sci-Fi,1.3,32,2025-09-09,34
MOVIE_0128,One of the worst movies I've ever seen. Completely disappointing.,Negative,Sci-Fi,2.4,62,2025-10-23,20
MOVIE_0129,One of the worst movies I've ever seen. Completely disappointing.,Negative,Thriller,2.2,57,2025-07-29,72
MOVIE_0130,Disappointing sequel that ruins the legacy of the original.,Negative,Action,1.1,54,2025-10-25,1
MOVIE_0131,Disappointing sequel that ruins the legacy of the original.,Negative,Documentary,1.6,20,2025-12-15,53
MOVIE_0132,Complete waste of time and money. Avoid this movie at all costs.,Negative,Horror,1.8,23,2025-07-18,86
MOVIE_0133,Awful film with no redeeming qualities whatsoever.,Negative,Thriller,2.1,41,2025-09-07,82
