text,sentiment,rating,category,verified_purchase,helpful_votes,price_range
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,5,Clothing,True,27,$50-100
Amazing! This product is even better than I hoped it would be!,Positive,5,Clothing,True,79,$100+
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,5,Electronics,False,77,$0-25
Amazing product! Exceeded my expectations in every way. Fast shipping too!,Positive,4,Toys,True,81,$50-100
Best purchase I've made this year! Absolutely love everything about it!,Positive,4,Electronics,True,4,$0-25
Superb quality and great design. Worth every penny and more!,Positive,4,Electronics,True,89,$0-25
Amazing! This product is even better than I hoped it would be!,Positive,4,Sports,True,54,$25-50
Amazing product! Exceeded my expectations in every way. Fast shipping too!,Positive,4,Electronics,False,83,$100+
Amazing! This product is even better than I hoped it would be!,Positive,4,Toys,False,52,$0-25
Outstanding quality for the price. Customer service was excellent too!,Positive,4,Toys,False,64,$25-50
Outstanding quality for the price. Customer service was excellent too!,Positive,5,Electronics,False,27,$50-100
Excellent product that works perfectly. Great customer support!,Positive,5,Sports,False,97,$25-50
Outstanding quality for the price. Customer service was excellent too!,Positive,4,Books,True,18,$100+
Amazing product! Exceeded my expectations in every way. Fast shipping too!,Positive,4,Toys,False,100,$100+
Superb quality and great design. Worth every penny and more!,Positive,5,Home & Kitchen,True,92,$0-25
Outstanding quality for the price. Customer service was excellent too!,Positive,4,Books,True,77,$50-100
Excellent product that works perfectly. Great customer support!,Positive,5,Toys,False,44,$100+
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,4,Sports,True,88,$25-50
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,5,Electronics,False,41,$50-100
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,5,Electronics,True,89,$50-100
Incredible value! This has made my life so much easier. 5 stars!,Positive,5,Toys,True,66,$25-50
Superb quality and great design. Worth every penny and more!,Positive,5,Clothing,False,40,$25-50
Love this! Great quality and exactly as described. Will buy again!,Positive,5,Toys,False,31,$100+
Amazing! This product is even better than I hoped it would be!,Positive,5,Clothing,True,79,$50-100
Fantastic product with amazing build quality. Arrived quickly!,Positive,5,Home & Kitchen,True,54,$50-100
Amazing product! Exceeded my expectations in every way. Fast shipping too!,Positive,4,Books,False,76,$100+
Fantastic product with amazing build quality. Arrived quickly!,Positive,4,Sports,True,95,$0-25
Amazing product! Exceeded my expectations in every way. Fast shipping too!,Positive,5,Home & Kitchen,False,41,$25-50
Fantastic product with amazing build quality. Arrived quickly!,Positive,4,Electronics,True,91,$50-100
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,4,Sports,True,43,$25-50
Excellent product that works perfectly. Great customer support!,Positive,5,Electronics,False,16,$0-25
Excellent product that works perfectly. Great customer support!,Positive,5,Clothing,True,51,$25-50
Superb quality and great design. Worth every penny and more!,Positive,5,Beauty,True,69,$50-100
Best purchase I've made this year! Absolutely love everything about it!,Positive,5,Books,False,44,$0-25
Amazing! This product is even better than I hoped it would be!,Positive,4,Beauty,True,34,$100+
Excellent product that works perfectly. Great customer support!,Positive,4,Toys,False,87,$0-25
Incredible value! This has made my life so much easier. 5 stars!,Positive,4,Sports,True,80,$50-100
Fantastic product with amazing build quality. Arrived quickly!,Positive,4,Beauty,False,70,$0-25
Fantastic product with amazing build quality. Arrived quickly!,Positive,4,Toys,True,66,$100+
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,4,Toys,False,2,$25-50
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,4,Sports,True,46,$25-50
Amazing! This product is even better than I hoped it would be!,Positive,5,Beauty,False,36,$50-100
Outstanding quality for the price. Customer service was excellent too!,Positive,5,Electronics,False,72,$0-25
Incredible value! This has made my life so much easier. 5 stars!,Positive,5,Home & Kitchen,True,31,$25-50
Best purchase I've made this year! Absolutely love everything about it!,Positive,5,Clothing,False,47,$100+
Love this! Great quality and exactly as described. Will buy again!,Positive,5,Clothing,False,59,$0-25
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,4,Sports,True,4,$50-100
Amazing! This product is even better than I hoped it would be!,Positive,5,Clothing,True,80,$100+
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,5,Home & Kitchen,True,41,$25-50
Excellent product that works perfectly. Great customer support!,Positive,4,Toys,True,99,$50-100
Fantastic product with amazing build quality. Arrived quickly!,Positive,5,Toys,False,14,$0-25
Fantastic product with amazing build quality. Arrived quickly!,Positive,5,Books,True,18,$100+
Fantastic product with amazing build quality. Arrived quickly!,Positive,5,Toys,False,51,$100+
Superb quality and great design. Worth every penny and more!,Positive,4,Home & Kitchen,True,6,$50-100
Incredible value! This has made my life so much easier. 5 stars!,Positive,5,Sports,True,11,$50-100
Best purchase I've made this year! Absolutely love everything about it!,Positive,5,Books,False,63,$0-25
