text,sentiment,source,category
Fantastic product with amazing build quality. Arrived quickly!,Positive,Ecommerce,Sports
Worst purchase ever! Nothing like the description. Requesting refund immediately!,Negative,Ecommerce,Home & Kitchen
Mediocre quality but functional. Not amazing but not awful either.,Neutral,Ecommerce,Home & Kitchen
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,Ecommerce,Electronics
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,Ecommerce,Books
Overpriced junk! Product arrived damaged and customer service is unhelpful!,Negative,Ecommerce,Sports
Outstanding quality for the price. Customer service was excellent too!,Positive,Ecommerce,Electronics
Fair product that meets basic expectations without exceeding them.,Neutral,Ecommerce,Beauty
Amazing product! Exceeded my expectations in every way. Fast shipping too!,Positive,Ecommerce,Sports
Cheap quality that falls apart immediately. Not worth any price!,Negative,Ecommerce,Books
Best purchase I've made this year! Absolutely love everything about it!,Positive,Ecommerce,Books
Outstanding quality for the price. Customer service was excellent too!,Positive,Ecommerce,Sports
Love this! Great quality and exactly as described. Will buy again!,Positive,Ecommerce,Toys
Average quality and performance. Could be better but not terrible.,Neutral,Ecommerce,Books
Cheap quality that falls apart immediately. Not worth any price!,Negative,Ecommerce,Books
Outstanding quality for the price. Customer service was excellent too!,Positive,Ecommerce,Electronics
Excellent product that works perfectly. Great customer support!,Positive,Ecommerce,Electronics
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,Ecommerce,Books
Superb quality and great design. Worth every penny and more!,Positive,Ecommerce,Home & Kitchen
Excellent product that works perfectly. Great customer support!,Positive,Ecommerce,Sports
Perfect! Works flawlessly and looks fantastic. Highly recommend!,Positive,Ecommerce,Electronics
"It's okay, does the job but nothing special. Average quality for the price.",Neutral,Ecommerce,Books
"It's alright, serves its purpose but lacks wow factor. Standard product.",Neutral,Ecommerce,Beauty
Works as expected though not particularly impressive. It's fine.,Neutral,Ecommerce,Sports
Complete garbage! Doesn't work as advertised. Save your money!,Negative,Ecommerce,Electronics
"It's okay, does the job but nothing special. Average quality for the price.",Neutral,Ecommerce,Clothing
Fantastic product with amazing build quality. Arrived quickly!,Positive,Ecommerce,Home & Kitchen
Amazing product! Exceeded my expectations in every way. Fast shipping too!,Positive,Ecommerce,Clothing
"It's okay, does the job but nothing special. Average quality for the price.",Neutral,Ecommerce,Beauty
It works but there are probably better options available elsewhere.,Neutral,Ecommerce,Home & Kitchen
"It's alright, serves its purpose but lacks wow factor. Standard product.",Neutral,Ecommerce,Beauty
Fantastic product with amazing build quality. Arrived quickly!,Positive,Ecommerce,Toys
Amazing! This product is even better than I hoped it would be!,Positive,Ecommerce,Beauty
Cheap quality that falls apart immediately. Not worth any price!,Negative,Ecommerce,Home & Kitchen
