text,sentiment,category,source,word_count,shares,publication_date
Unemployment Drops to Historic Low as Economy Continues Strong Growth,Positive,Politics,Local News,58,7596,2025-12-16
"Technology Startup Creates 2,000 High-Paying Jobs in Local Area",Positive,Politics,Local News,400,2892,2025-12-26
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Local,Wire Service,118,6088,2025-12-22
Young Entrepreneur's Innovation Helps Solve Global Water Crisis,Positive,Economy,National News,214,5328,2025-12-04
Local Community Raises Record $500K for Children's Hospital,Positive,Technology,Local News,152,3144,2025-12-24
"Technology Startup Creates 2,000 High-Paying Jobs in Local Area",Positive,Local,National News,170,9265,2025-12-09
Local Community Raises Record $500K for Children's Hospital,Positive,Health,Online Media,320,5320,2025-11-29
Breakthrough in Renewable Energy Could Power Entire Cities Cleanly,Positive,Health,Wire Service,188,8944,2025-12-13
Young Entrepreneur's Innovation Helps Solve Global Water Crisis,Positive,Politics,Wire Service,336,1517,2025-12-17
Environmental Cleanup Project Successfully Restores Polluted Lake,Positive,Technology,National News,319,228,2025-12-06
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Environment,National News,72,5738,2025-12-14
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Technology,National News,293,9159,2025-12-05
Environmental Cleanup Project Successfully Restores Polluted Lake,Positive,Politics,Online Media,377,1241,2025-12-07
City Opens Largest Public Park in Decades with Free Family Activities,Positive,Economy,Online Media,491,578,2025-12-20
Breakthrough in Renewable Energy Could Power Entire Cities Cleanly,Positive,Local,Online Media,226,7079,2025-12-21
Young Entrepreneur's Innovation Helps Solve Global Water Crisis,Positive,Politics,Online Media,138,2236,2025-12-04
Environmental Cleanup Project Successfully Restores Polluted Lake,Positive,Environment,Local News,200,4020,2025-12-13
Breakthrough in Renewable Energy Could Power Entire Cities Cleanly,Positive,Environment,Wire Service,472,3376,2025-12-06
Scientists Discover Revolutionary Treatment for Alzheimer's Disease,Positive,Politics,Online Media,155,5009,2025-12-03
Unemployment Drops to Historic Low as Economy Continues Strong Growth,Positive,Economy,National News,420,305,2025-11-29
Education Initiative Dramatically Improves Student Performance Rates,Positive,Politics,Local News,468,1255,2025-12-11
