ticket_id,text,sentiment,department,satisfaction_rating,resolution_time_hours,priority,date
TICKET_0001,The representative was patient and explained everything clearly.,Positive,Billing,5,56,Medium,2025-11-10
TICKET_0002,Quick response time and very knowledgeable staff. Excellent experience!,Positive,General Inquiry,5,27,Low,2025-12-04
TICKET_0003,Wonderful experience from start to finish. Great team!,Positive,Sales,4,56,Critical,2025-12-07
TICKET_0004,Outstanding customer service! They went above and beyond to help me.,Positive,Complaints,5,63,Medium,2025-11-21
TICKET_0005,Quick response time and very knowledgeable staff. Excellent experience!,Positive,Billing,5,33,Low,2025-10-29
TICKET_0006,Outstanding customer service! They went above and beyond to help me.,Positive,Technical Support,5,41,Low,2025-10-28
TICKET_0007,Professional and courteous service. Problem solved in minutes!,Positive,General Inquiry,4,66,High,2025-12-26
TICKET_0008,Wonderful experience from start to finish. Great team!,Positive,Complaints,5,11,Low,2025-10-26
TICKET_0009,Professional and courteous service. Problem solved in minutes!,Positive,Technical Support,4,26,Low,2025-12-04
TICKET_0010,The support team was incredibly helpful and resolved my issue quickly.,Positive,Sales,4,44,Medium,2025-11-03
TICKET_0011,The support team was incredibly helpful and resolved my issue quickly.,Positive,Billing,4,20,Critical,2025-12-20
TICKET_0012,The representative was patient and explained everything clearly.,Positive,Complaints,4,47,Critical,2025-11-27
TICKET_0013,"Fast, efficient, and friendly service. Couldn't ask for more!",Positive,Sales,5,42,Critical,2025-12-07
TICKET_0014,The representative was patient and explained everything clearly.,Positive,General Inquiry,4,43,Medium,2025-11-19
TICKET_0015,Best customer service I've ever experienced. Truly impressed!,Positive,Sales,5,31,High,2025-12-14
TICKET_0016,They made a difficult situation easy to resolve. Thank you!,Positive,Billing,4,12,Medium,2025-10-15
TICKET_0017,Wonderful experience from start to finish. Great team!,Positive,Sales,5,37,Critical,2025-12-07
TICKET_0018,Exceeded my expectations with their helpfulness and expertise.,Positive,Billing,4,6,High,2025-12-03
TICKET_0019,"Fast, efficient, and friendly service. Couldn't ask for more!",Positive,Sales,5,2,Critical,2025-12-26
TICKET_0020,Exceeded my expectations with their helpfulness and expertise.,Positive,General Inquiry,5,4,Medium,2025-12-27
TICKET_0021,Professional and courteous service. Problem solved in minutes!,Positive,General Inquiry,4,28,High,2025-10-07
TICKET_0022,The representative was patient and explained everything clearly.,Positive,Technical Support,5,29,Critical,2025-10-02
TICKET_0023,Outstanding customer service! They went above and beyond to help me.,Positive,Complaints,5,27,Low,2025-11-29
TICKET_0024,Wonderful experience from start to finish. Great team!,Positive,Billing,5,56,Medium,2025-10-26
TICKET_0025,Best customer service I've ever experienced. Truly impressed!,Positive,Complaints,4,25,Critical,2025-10-03
TICKET_0026,Outstanding customer service! They went above and beyond to help me.,Positive,Complaints,4,45,Critical,2025-11-10
TICKET_0027,Wonderful experience from start to finish. Great team!,Positive,Complaints,4,10,Medium,2025-11-21
TICKET_0028,The support team was incredibly helpful and resolved my issue quickly.,Positive,Sales,5,39,Medium,2025-10-14
TICKET_0029,Professional and courteous service. Problem solved in minutes!,Positive,Sales,5,35,Medium,2025-11-02
TICKET_0030,They made a difficult situation easy to resolve. Thank you!,Positive,Billing,5,6,High,2025-10-01
TICKET_0031,Exceeded my expectations with their helpfulness and expertise.,Positive,Technical Support,5,6,Low,2025-10-27
TICKET_0032,The support team was incredibly helpful and resolved my issue quickly.,Positive,Technical Support,5,63,Critical,2025-10-18
TICKET_0033,Professional and courteous service. Problem solved in minutes!,Positive,Complaints,4,64,Medium,2025-10-25
TICKET_0034,The support team was incredibly helpful and resolved my issue quickly.,Positive,Sales,5,28,Critical,2025-10-25
TICKET_0035,The representative was patient and explained everything clearly.,Positive,Complaints,5,39,High,2025-11-15
TICKET_0036,Professional and courteous service. Problem solved in minutes!,Positive,Billing,4,64,Low,2025-11-13
TICKET_0037,Quick response time and very knowledgeable staff. Excellent experience!,Positive,Sales,4,60,High,2025-11-05
