post_id,text,sentiment,platform,likes,shares,comments,timestamp,user_followers
POST_0001,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,LinkedIn,76,35,17,2025-12-26T03:14:56.867820,756
POST_0002,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,Twitter,29,10,2,2025-12-28T16:14:56.867820,7924
POST_0003,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,Instagram,46,25,8,2025-12-26T19:14:56.867820,8248
POST_0004,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,LinkedIn,162,17,15,2025-12-24T10:14:56.867820,9880
POST_0005,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,Facebook,78,30,6,2025-12-27T05:14:56.867820,6394
POST_0006,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,Twitter,93,44,20,2025-12-26T01:14:56.867820,2681
POST_0007,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,LinkedIn,30,88,25,2025-12-24T15:14:56.867820,4862
POST_0008,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Instagram,35,1,8,2025-12-23T20:14:56.867820,3431
POST_0009,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,Twitter,54,32,16,2025-12-28T11:14:56.867820,3189
POST_0010,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,LinkedIn,151,15,13,2025-12-24T11:14:56.867820,7050
POST_0011,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Instagram,27,34,7,2025-12-29T11:14:56.867820,7137
POST_0012,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,LinkedIn,62,64,12,2025-12-23T03:14:56.867820,7386
POST_0013,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Instagram,90,19,11,2025-12-24T21:14:56.867820,7657
POST_0014,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,Twitter,109,3,9,2025-12-28T12:14:56.867820,9233
POST_0015,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,Facebook,186,21,1,2025-12-28T06:14:56.867820,4139
POST_0016,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,Twitter,262,38,0,2025-12-22T21:14:56.867820,9785
POST_0017,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,Instagram,143,3,0,2025-12-24T08:14:56.867820,8188
POST_0018,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,Twitter,158,12,7,2025-12-24T22:14:56.867820,8047
POST_0019,This new restaurant is absolutely fantastic! Must try! 🍽️ #foodie #delicious,Positive,TikTok,393,45,16,2025-12-23T18:14:56.867820,2115
POST_0020,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,TikTok,90,0,2,2025-12-27T07:14:56.867820,6586
POST_0021,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,LinkedIn,173,37,1,2025-12-28T15:14:56.867820,7889
POST_0022,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,LinkedIn,147,39,11,2025-12-23T09:14:56.867820,9311
POST_0023,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,TikTok,154,44,21,2025-12-24T03:14:56.867820,9894
POST_0024,Just adopted the cutest puppy! My heart is so full ❤️ 🐶 #puppylove,Positive,Instagram,122,39,12,2025-12-26T05:14:56.867820,3883
POST_0025,Just adopted the cutest puppy! My heart is so full ❤️ 🐶 #puppylove,Positive,Instagram,116,53,3,2025-12-22T19:14:56.867820,2131
POST_0026,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,Facebook,148,19,19,2025-12-27T11:14:56.867820,1831
POST_0027,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,TikTok,7,12,6,2025-12-24T13:14:56.867820,9511
POST_0028,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Twitter,36,15,17,2025-12-27T12:14:56.867820,6266
POST_0029,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,LinkedIn,258,28,34,2025-12-29T08:14:56.867820,768
POST_0030,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,TikTok,104,16,29,2025-12-22T12:14:56.867820,2417
POST_0031,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,LinkedIn,58,31,13,2025-12-25T06:14:56.867820,4269
POST_0032,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,Instagram,359,54,32,2025-12-24T00:14:56.867820,3606
POST_0033,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,LinkedIn,31,29,0,2025-12-24T13:14:56.867820,7156
POST_0034,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,Facebook,129,19,7,2025-12-25T14:14:56.867820,8937
POST_0035,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,LinkedIn,20,43,10,2025-12-29T07:14:56.867820,4431
POST_0036,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,Facebook,87,47,1,2025-12-27T17:14:56.867820,1674
POST_0037,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,Facebook,274,33,16,2025-12-27T10:14:56.867820,2907
POST_0038,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,Instagram,64,44,26,2025-12-24T09:14:56.867820,836
POST_0039,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,LinkedIn,191,8,0,2025-12-24T02:14:56.867820,4570
POST_0040,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,Instagram,79,19,12,2025-12-28T14:14:56.867820,8132
POST_0041,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,LinkedIn,229,8,30,2025-12-26T05:14:56.867820,109
POST_0042,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,Facebook,42,22,2,2025-12-23T02:14:56.867820,7665
POST_0043,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,Twitter,141,69,18,2025-12-25T14:14:56.867820,3958
POST_0044,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,Instagram,0,19,0,2025-12-23T03:14:56.867820,5600
POST_0045,Just adopted the cutest puppy! My heart is so full ❤️ 🐶 #puppylove,Positive,TikTok,43,12,4,2025-12-29T11:14:56.867820,2058
POST_0046,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,TikTok,60,36,22,2025-12-24T07:14:56.867820,2656
POST_0047,Just adopted the cutest puppy! My heart is so full ❤️ 🐶 #puppylove,Positive,Facebook,166,5,8,2025-12-26T02:14:56.867820,7338
POST_0048,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,Instagram,182,31,12,2025-12-23T04:14:56.867820,9050
POST_0049,Perfect weather for a picnic in the park! 🌞 #beautiful #outdoors,Positive,Facebook,105,1,44,2025-12-29T10:14:56.867820,3399
POST_0050,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,Twitter,387,83,14,2025-12-26T11:14:56.867820,3992
POST_0051,Just adopted the cutest puppy! My heart is so full ❤️ 🐶 #puppylove,Positive,Twitter,76,1,6,2025-12-29T11:14:56.867820,3609
POST_0052,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,LinkedIn,249,11,24,2025-12-27T13:14:56.867820,7461
POST_0053,This new restaurant is absolutely fantastic! Must try! 🍽️ #foodie #delicious,Positive,TikTok,49,31,21,2025-12-28T15:14:56.867820,2961
POST_0054,This new restaurant is absolutely fantastic! Must try! 🍽️ #foodie #delicious,Positive,Twitter,152,17,3,2025-12-26T16:14:56.867820,5140
POST_0055,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,LinkedIn,18,12,0,2025-12-26T07:14:56.867820,5731
POST_0056,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,Instagram,139,61,1,2025-12-24T10:14:56.867820,2508
POST_0057,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,LinkedIn,353,37,34,2025-12-29T09:14:56.867820,5366
POST_0058,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,LinkedIn,197,76,4,2025-12-25T05:14:56.867820,6446
POST_0059,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,TikTok,280,24,33,2025-12-24T15:14:56.867820,9029
POST_0060,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,LinkedIn,179,14,5,2025-12-23T09:14:56.867820,2566
POST_0061,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,TikTok,80,22,10,2025-12-28T18:14:56.867820,1004
POST_0062,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Instagram,301,34,23,2025-12-26T10:14:56.867820,8786
POST_0063,Best vacation ever! The beaches here are absolutely stunning 🏖️ #paradise,Positive,TikTok,135,26,8,2025-12-24T17:14:56.867820,1460
POST_0064,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,Instagram,1,6,4,2025-12-26T00:14:56.867820,6450
POST_0065,Just adopted the cutest puppy! My heart is so full ❤️ 🐶 #puppylove,Positive,Facebook,25,18,10,2025-12-27T07:14:56.867820,6673
POST_0066,Amazing concert last night! The band was incredible! 🎵 #music #livemusic,Positive,LinkedIn,63,60,12,2025-12-25T07:14:56.869125,1573
POST_0067,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,Facebook,424,87,8,2025-12-25T19:14:56.869125,9857
POST_0068,Got promoted at work today! Hard work really pays off! 🎉 #success #career,Positive,Twitter,21,25,4,2025-12-22T15:14:56.869125,5062
POST_0069,Finished my first marathon today! Feeling incredible! 🏃‍♀️ #achievement #running,Positive,Facebook,88,31,21,2025-12-23T06:14:56.869125,6884
POST_0070,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Facebook,94,7,41,2025-12-22T13:14:56.869125,8886
POST_0071,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,Twitter,136,0,0,2025-12-26T00:14:56.869125,2824
POST_0072,Just had the most amazing coffee at this new cafe! ☕ #blessed #coffeelover,Positive,LinkedIn,334,73,32,2025-12-26T05:14:56.869125,9631
POST_0073,Loving this new book! Can't put it down! 📚 #reading #bookworm,Positive,TikTok,95,68,13,2025-12-26T07:14:56.869125,5167
POST_0074,Beautiful sunset tonight! Nature never fails to amaze me 🌅 #grateful,Positive,TikTok,360,9,34,2025-12-25T23:14:56.869125,4577
